content_title,attributes
One Piece,"{""Term Status"":[],""Moods"":[""whimsical"",""wild"",""confrontational""],""Scopes and Scales"":[""normal""],""Gender"":[""male""],""Genres"":[""action-adventure"",""animation"",""anime"",""fantasy""],""Source Material"":[""adaptation""],""Story Elements"":[""showdown"",""friendship"",""family business"",""holy grail""],""Agents"":[""animal"",""royalty"",""fantastic beast"",""ship captain"",""pirate"",""cyborg"",""criminal""],""Age Groups"":[""teen (14-18)""],""Setting Types"":[""island"",""aquatic""]}"
Down and Out in Beverly Hills,"{""Portrayals of Character"":[""Jenny Whiteman (none)"",""Tom Tom (none)"",""Barry (none)"",""Dr. Toni Grant (Grant, Toni)"",""Sheila Waltzberg (none)"",""Pearl Waxman (none)"",""Orvis Goodnight (none)"",""Yamato (none)"",""Geraldo (none)"",""Maurice (none)"",""Lance (none)"",""Ed (none)"",""Lou Waltzberg (none)"",""Sandra Goodnight (none)"",""Sidney Waxman (none)"",""Jerry Baskin (Nolte, Nick)"",""Max Whiteman (none)"",""Nagamichi (none)"",""Nigel (none)"",""Carmen (Pena, Elizabeth)"",""Dave Whiteman (Dreyfuss, Richard)"",""Patrick (none)"",""Mel Whiteman (none)"",""Ranbir (none)"",""Dorothy (none)"",""Minister Chan (none)"",""Dr. Von Zimmer (none)"",""Barbara Whiteman (Midler, Bette)"",""Sadie Whiteman (none)"",""Al (none)"",""Roxanne (none)""],""Setting Types"":[""suburban""],""Time Era"":[""1980-1989""],""Age Groups"":[""adult (19-59)""],""Agents"":[""parent"",""lover"",""son"",""guest"",""housekeeper"",""LGBTQIA+"",""family"",""daughter"",""unhoused person"",""business owner"",""spouse""],""Story Elements"":[""familial relationship"",""fish-out-of-water"",""identity"",""married life"",""lovers' quarrel""],""Moods"":[""outrageous"",""funny""],""Genres"":[""comedy""],""Scopes and Scales"":[""normal""],""Gender"":[""male"",""female""],""Source Material"":[""adaptation""]}"
Hallahalla,"{""Genres"":[""drama"",""comedy""],""Disciplines & Industries"":[""medicine""],""Agents"":[""mother"",""teacher"",""father"",""martial artist"",""lover"",""nurse"",""patient""],""Source Material"":[""original idea""],""Story Elements"":[""reinvention"",""friendship"",""new love"",""single parenting""],""Geography"":[""Sweden""],""Time Era"":[""contemporary (2000-)""],""Scopes and Scales"":[""normal""],""Setting Types"":[""rural"",""town""],""Holidays & Seasons"":[""winter""],""Age Groups"":[""adult (19-59)""],""Gender"":[""female""],""Moods"":[""dramatic"",""funny""]}"
Hot Dog Daze Afternoon!/ Super Sweet Helpers!,"{""Age Groups"":[""indeterminate""],""Portrayals of Character"":[""Cuckoo Loca (Futterman, Nika)"",""Mrs. Thunderboom (Futterman, Nika)"",""Hudson (Bennett, Jeff)"",""Donald Duck (Ross, Daniel)"",""Goofy (Farmer, Bill)"",""Mrs. Sweetums (Kotb, Hoda)"",""Chip (MacNeille, Tress)"",""Mayor McBeagle (Farmer, Bill)"",""Daisy Duck (MacNeille, Tress)"",""Dale (Burton, Corey)"",""Mickey Mouse (Iwan, Bret)"",""Elray (Kishiyama, Evan)"",""Minnie Mouse (Taylor, Russi)"",""Pluto (Farmer, Bill)""],""Inactive Agents"":[""group"",""animal"",""racecar driver""],""Time Era"":[""contemporary (2000-)""],""Scopes and Scales"":[""normal""],""Setting Types"":[""rural"",""town""],""Gender"":[""female"",""male""],""Agents"":[""bird"",""dog"",""broadcaster"",""mechanic"",""mouse""],""Disciplines & Industries"":[""transportation"",""sports""],""Subjects"":[""sports""]}"
Big Hero 6,"{""Age Groups"":[""teen (14-18)""],""Subjects"":[""technology""],""Source Material"":[""as suggested by""],""Story Elements"":[""revenge"",""deception"",""showdown"",""bereavement""],""Time Era"":[""future""],""Gender"":[""male""],""Moods"":[""heartwarming"",""dramatic"",""wild""],""Portrayals of Character"":[""Go Go (Chung, Jamie)"",""Hiro (Potter, Ryan)"",""Cass (Rudolph, Maya)"",""Yama (Briggs, Paul)"",""Heathcliff (Shaughnessy, David)"",""Mochi (none)"",""Fred (Miller, T.J.)"",""Robert Callaghan (Cromwell, James)"",""Wasabi (Wayans, Damon , Jr.)"",""Honey Lemon (Rodriguez, Genesis)"",""Abigail (Lowes, Katie)"",""Fred's Dad (Lee, Stan)"",""Alistair Krei (Tudyk, Alan)"",""Tadashi (Henney, Daniel)"",""Yokai (none)"",""Baymax (Adsit, Scott)""],""Scopes and Scales"":[""grand""],""Fictional Locations"":[""Krei Tech Industries"",""San Fransokyo Institute of Technology"",""Tadashi Hamada's lab"",""San Fransokyo"",""Frederickson mansion"",""Akuma Island"",""Hamada family house"",""Lucky Cat Caf&#233;""],""Setting Types"":[""urban""],""Agents"":[""superhero"",""robot"",""nephew"",""brother"",""team"",""inventor"",""student"",""aunt""],""Genres"":[""science fiction"",""family"",""superhero"",""action-adventure"",""animation""]}"
Hotel Mondial,"{""Genres"":[""drama""],""Story Elements"":[""office romance"",""forbidden love"",""workplace issue"",""personal investigation""],""Creative Elements"":[""voice-over narrator""],""Geography"":[""Germany""],""Term Status"":[],""Setting Types"":[""urban""],""Time Era"":[""2020-2029""],""Moods"":[""dramatic""],""Agents"":[""supervisor"",""assistant"",""spouse"",""manager"",""bartender"",""LGBTQIA+"",""thief"",""guest"",""porter"",""mother"",""cook""],""Source Material"":[""original idea""],""Disciplines & Industries"":[""hotel, lodge, or inn""]}"
"Last American Hero, The","{""Term Status"":[],""Genres"":[""sports"",""drama"",""biographical""],""Gender"":[""male""],""Disciplines & Industries"":[""motorsports""],""Setting Types"":[""rural""],""Time Era"":[""1960-1969"",""1946-1959""],""Agents"":[""racecar driver"",""mother"",""manager"",""brother"",""assistant"",""father"",""business person"",""lover"",""criminal"",""group""],""Source Material"":[""adaptation"",""true story""],""Story Elements"":[""rags to riches"",""family business"",""fitting in"",""competition"",""following a dream""],""Age Groups"":[""young adult (19-25)""],""Geography"":[""North Carolina""]}"
Fireball Gebaude-Baude (Shorts),"{""Source Material"":[""original idea""],""Gender"":[""male"",""female""],""Moods"":[""whimsical"",""funny"",""contemplative""],""Age Groups"":[""indeterminate""],""Scopes and Scales"":[""confined""],""Agents"":[""android"",""princess"",""servant"",""robot""],""Setting Types"":[""kingdom""],""Time Era"":[""future""],""Term Status"":[],""Genres"":[""comedy"",""anime"",""animation"",""science fiction""],""Subjects"":[""war""]}"
Olaf's Frozen Adventure,"{""Time Era"":[""1800-1849 (early 19th century)""],""Setting Types"":[""kingdom"",""wilderness""],""Portrayals of Character"":[""Elsa (young) (Bella, Eva)"",""SVEN (none)"",""Mrs. Olsen (none)"",""Oaken (Williams, Chris)"",""Mr. Olsen (none)""],""Age Groups"":[""indeterminate""],""Agents"":[""snowman"",""animal"",""sister"",""queen"",""princess""],""Holidays & Seasons"":[""winter"",""Christmas""],""Scopes and Scales"":[""normal""],""Gender"":[""male""],""Subjects"":[""family""],""Moods"":[""funny"",""heartwarming"",""whimsical""],""Genres"":[""family"",""animation"",""musical"",""fantasy"",""comedy""],""Source Material"":[""spin-off""]}"
"Closet Case, The","{""Portrayals of Character"":[""Manny Delgado (Rodriguez, Rico)"",""Dylan Marshall (Ewing, Reid)"",""Luke Dunphy (Gould, Nolan)"",""Jay Pritchett (O'Neill, Ed)"",""Gloria Delgado-Pritchett (Vergara, Sof??a)"",""Haley Dunphy (Hyland, Sarah)"",""Earl Chambers (Costanzo, Robert)"",""Phil Dunphy (Burrell, Ty)"",""Alex Dunphy (Winter, Ariel)"",""Earl Chambers (Polito, Jon)"",""Joe Pritchett (Maguire, Jeremy)"",""Cameron Tucker (Stonestreet, Eric)"",""Mitchell Pritchett (Ferguson, Jesse Tyler)"",""Helen (White, Irene)"",""Carly (Yorke, Hanna)"",""Claire Dunphy (Bowen, Julie)"",""Lily Tucker-Pritchett (Anderson-Emmons, Aubrey)"",""Brie (Gaw, Lauren)"",""Gloria Delgado-Pritchett (Vergara, Sofía)""]}"
