id,title,genres,overview,cast,director,runtime,language,rating
1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,"A Adventure, Animation, Children, Comedy, Fantasy movie titled Toy Story.",,,,,
2,Jumanji,Adventure|Children|Fantasy,"A Adventure, Children, Fantasy movie titled Jumanji.",,,,,
3,Grumpier Old Men,Comedy|Romance,"A Comedy, Romance movie titled Grumpier Old Men.",,,,,
4,Waiting to Exhale,Comedy|Drama|Romance,"A Comedy, Drama, Romance movie titled Waiting to Exhale.",,,,,
5,Father of the Bride Part II,Comedy,A Comedy movie titled Father of the Bride Part II.,,,,,
6,Heat,Action|Crime|Thriller,"A Action, Crime, Thriller movie titled Heat.",,,,,
7,Sabrina,Comedy|Romance,"A Comedy, Romance movie titled Sabrina.",,,,,
8,Tom and Huck,Adventure|Children,"A Adventure, Children movie titled Tom and Huck.",,,,,
9,Sudden Death,Action,A Action movie titled Sudden Death.,,,,,
10,GoldenEye,Action|Adventure|Thriller,"A Action, Adventure, Thriller movie titled GoldenEye.",,,,,
11,"American President, The",Comedy|Drama|Romance,"A Comedy, Drama, Romance movie titled American President, The.",,,,,
12,Dracula: Dead and Loving It,Comedy|Horror,"A Comedy, Horror movie titled Dracula: Dead and Loving It.",,,,,
13,Balto,Adventure|Animation|Children,"A Adventure, Animation, Children movie titled Balto.",,,,,
14,Nixon,Drama,A Drama movie titled Nixon.,,,,,
15,Cutthroat Island,Action|Adventure|Romance,"A Action, Adventure, Romance movie titled Cutthroat Island.",,,,,
16,Casino,Crime|Drama,"A Crime, Drama movie titled Casino.",,,,,
17,Sense and Sensibility,Drama|Romance,"A Drama, Romance movie titled Sense and Sensibility.",,,,,
18,Four Rooms,Comedy,A Comedy movie titled Four Rooms.,,,,,
19,Ace Ventura: When Nature Calls,Comedy,A Comedy movie titled Ace Ventura: When Nature Calls.,,,,,
20,Money Train,Action|Comedy|Crime|Drama|Thriller,"A Action, Comedy, Crime, Drama, Thriller movie titled Money Train.",,,,,
21,Get Shorty,Comedy|Crime|Thriller,"A Comedy, Crime, Thriller movie titled Get Shorty.",,,,,
22,Copycat,Crime|Drama|Horror|Mystery|Thriller,"A Crime, Drama, Horror, Mystery, Thriller movie titled Copycat.",,,,,
23,Assassins,Action|Crime|Thriller,"A Action, Crime, Thriller movie titled Assassins.",,,,,
24,Powder,Drama|Sci-Fi,"A Drama, Sci-Fi movie titled Powder.",,,,,
25,Leaving Las Vegas,Drama|Romance,"A Drama, Romance movie titled Leaving Las Vegas.",,,,,
26,Othello,Drama,A Drama movie titled Othello.,,,,,
27,Now and Then,Children|Drama,"A Children, Drama movie titled Now and Then.",,,,,
28,Persuasion,Drama|Romance,"A Drama, Romance movie titled Persuasion.",,,,,
29,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,"A Adventure, Drama, Fantasy, Mystery, Sci-Fi movie titled City of Lost Children, The (Cité des enfants perdus, La).",,,,,
30,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime|Drama,"A Crime, Drama movie titled Shanghai Triad (Yao a yao yao dao waipo qiao).",,,,,
31,Dangerous Minds,Drama,A Drama movie titled Dangerous Minds.,,,,,
32,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller,"A Mystery, Sci-Fi, Thriller movie titled Twelve Monkeys (a.k.a. 12 Monkeys).",,,,,
34,Babe,Children|Drama,"A Children, Drama movie titled Babe.",,,,,
36,Dead Man Walking,Crime|Drama,"A Crime, Drama movie titled Dead Man Walking.",,,,,
38,It Takes Two,Children|Comedy,"A Children, Comedy movie titled It Takes Two.",,,,,
39,Clueless,Comedy|Romance,"A Comedy, Romance movie titled Clueless.",,,,,
40,"Cry, the Beloved Country",Drama,"A Drama movie titled Cry, the Beloved Country.",,,,,
41,Richard III,Drama|War,"A Drama, War movie titled Richard III.",,,,,
42,Dead Presidents,Action|Crime|Drama,"A Action, Crime, Drama movie titled Dead Presidents.",,,,,
43,Restoration,Drama,A Drama movie titled Restoration.,,,,,
44,Mortal Kombat,Action|Adventure|Fantasy,"A Action, Adventure, Fantasy movie titled Mortal Kombat.",,,,,
45,To Die For,Comedy|Drama|Thriller,"A Comedy, Drama, Thriller movie titled To Die For.",,,,,
46,How to Make an American Quilt,Drama|Romance,"A Drama, Romance movie titled How to Make an American Quilt.",,,,,
47,Seven (a.k.a. Se7en),Mystery|Thriller,"A Mystery, Thriller movie titled Seven (a.k.a. Se7en).",,,,,
48,Pocahontas,Animation|Children|Drama|Musical|Romance,"A Animation, Children, Drama, Musical, Romance movie titled Pocahontas.",,,,,
49,When Night Is Falling,Drama|Romance,"A Drama, Romance movie titled When Night Is Falling.",,,,,
50,"Usual Suspects, The",Crime|Mystery|Thriller,"A Crime, Mystery, Thriller movie titled Usual Suspects, The.",,,,,
52,Mighty Aphrodite,Comedy|Drama|Romance,"A Comedy, Drama, Romance movie titled Mighty Aphrodite.",,,,,
53,Lamerica,Adventure|Drama,"A Adventure, Drama movie titled Lamerica.",,,,,
54,"Big Green, The",Children|Comedy,"A Children, Comedy movie titled Big Green, The.",,,,,
55,Georgia,Drama,A Drama movie titled Georgia.,,,,,
57,Home for the Holidays,Drama,A Drama movie titled Home for the Holidays.,,,,,
58,"Postman, The (Postino, Il)",Comedy|Drama|Romance,"A Comedy, Drama, Romance movie titled Postman, The (Postino, Il).",,,,,
60,"Indian in the Cupboard, The",Adventure|Children|Fantasy,"A Adventure, Children, Fantasy movie titled Indian in the Cupboard, The.",,,,,
61,Eye for an Eye,Drama|Thriller,"A Drama, Thriller movie titled Eye for an Eye.",,,,,
62,Mr. Holland's Opus,Drama,A Drama movie titled Mr. Holland's Opus.,,,,,
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime,"A Comedy, Crime movie titled Don't Be a Menace to South Central While Drinking Your Juice in the Hood.",,,,,
64,Two if by Sea,Comedy|Romance,"A Comedy, Romance movie titled Two if by Sea.",,,,,
65,Bio-Dome,Comedy,A Comedy movie titled Bio-Dome.,,,,,
66,Lawnmower Man 2: Beyond Cyberspace,Action|Sci-Fi|Thriller,"A Action, Sci-Fi, Thriller movie titled Lawnmower Man 2: Beyond Cyberspace.",,,,,
68,French Twist (Gazon maudit),Comedy|Romance,"A Comedy, Romance movie titled French Twist (Gazon maudit).",,,,,
69,Friday,Comedy,A Comedy movie titled Friday.,,,,,
70,From Dusk Till Dawn,Action|Comedy|Horror|Thriller,"A Action, Comedy, Horror, Thriller movie titled From Dusk Till Dawn.",,,,,
71,Fair Game,Action,A Action movie titled Fair Game.,,,,,
72,Kicking and Screaming,Comedy|Drama,"A Comedy, Drama movie titled Kicking and Screaming.",,,,,
73,"Misérables, Les",Drama|War,"A Drama, War movie titled Misérables, Les.",,,,,
74,Bed of Roses,Drama|Romance,"A Drama, Romance movie titled Bed of Roses.",,,,,
75,Big Bully,Comedy|Drama,"A Comedy, Drama movie titled Big Bully.",,,,,
76,Screamers,Action|Sci-Fi|Thriller,"A Action, Sci-Fi, Thriller movie titled Screamers.",,,,,
77,Nico Icon,Documentary,A Documentary movie titled Nico Icon.,,,,,
78,"Crossing Guard, The",Action|Crime|Drama|Thriller,"A Action, Crime, Drama, Thriller movie titled Crossing Guard, The.",,,,,
79,"Juror, The",Drama|Thriller,"A Drama, Thriller movie titled Juror, The.",,,,,
80,"White Balloon, The (Badkonake sefid)",Children|Drama,"A Children, Drama movie titled White Balloon, The (Badkonake sefid).",,,,,
81,Things to Do in Denver When You're Dead,Crime|Drama|Romance,"A Crime, Drama, Romance movie titled Things to Do in Denver When You're Dead.",,,,,
82,Antonia's Line (Antonia),Comedy|Drama,"A Comedy, Drama movie titled Antonia's Line (Antonia).",,,,,
83,Once Upon a Time... When We Were Colored,Drama|Romance,"A Drama, Romance movie titled Once Upon a Time... When We Were Colored.",,,,,
85,Angels and Insects,Drama|Romance,"A Drama, Romance movie titled Angels and Insects.",,,,,
86,White Squall,Action|Adventure|Drama,"A Action, Adventure, Drama movie titled White Squall.",,,,,
87,Dunston Checks In,Children|Comedy,"A Children, Comedy movie titled Dunston Checks In.",,,,,
88,Black Sheep,Comedy,A Comedy movie titled Black Sheep.,,,,,
89,Nick of Time,Action|Thriller,"A Action, Thriller movie titled Nick of Time.",,,,,
92,Mary Reilly,Drama|Horror|Thriller,"A Drama, Horror, Thriller movie titled Mary Reilly.",,,,,
93,Vampire in Brooklyn,Comedy|Horror|Romance,"A Comedy, Horror, Romance movie titled Vampire in Brooklyn.",,,,,
94,Beautiful Girls,Comedy|Drama|Romance,"A Comedy, Drama, Romance movie titled Beautiful Girls.",,,,,
95,Broken Arrow,Action|Adventure|Thriller,"A Action, Adventure, Thriller movie titled Broken Arrow.",,,,,
96,In the Bleak Midwinter,Comedy|Drama,"A Comedy, Drama movie titled In the Bleak Midwinter.",,,,,
97,"Hate (Haine, La)",Crime|Drama,"A Crime, Drama movie titled Hate (Haine, La).",,,,,
99,Heidi Fleiss: Hollywood Madam,Documentary,A Documentary movie titled Heidi Fleiss: Hollywood Madam.,,,,,
